ticker,name,sector,industry,market_cap
HSBA.L,HSBC Holdings plc,Financial Services,Banks - Diversified,129307500544
PSON.L,Pearson plc,Communication Services,Publishing,7975813120
ANTO.L,Antofagasta plc,Basic Materials,Copper,17291931648
PRU.L,Prudential plc,Financial Services,Insurance - Life,17584242688
STAN.L,Standard Chartered PLC,Financial Services,Banks - Diversified,22781585408
AAL.L,Anglo American plc,Basic Materials,Other Industrial Metals & Mining,29253521408
GLEN.L,Glencore plc,Basic Materials,Other Industrial Metals & Mining,49503715328
WPP.L,WPP plc,Communication Services,Advertising Agencies,9199799296
RIO.L,Rio Tinto Group,Basic Materials,Other Industrial Metals & Mining,79397380096
RKT.L,Reckitt Benckiser Group plc,Consumer Defensive,Household & Personal Products,33875068928
RTO.L,Rentokil Initial plc,Industrials,Specialty Business Services,10249594880
MNDI.L,Mondi plc,Basic Materials,Paper & Paper Products,5398183424
FRES.L,Fresnillo plc,Basic Materials,Other Precious Metals & Mining,5228263424
SGE.L,The Sage Group plc,Technology,Software - Application,10372221952
VTY.L,Vistry Group PLC,Consumer Cyclical,Residential Construction,2418102784
IHG.L,InterContinental Hotels Group PLC,Consumer Cyclical,Lodging,14447976448
BATS.L,British American Tobacco p.l.c.,Consumer Defensive,Tobacco,60308377600
AZN.L,AstraZeneca PLC,Healthcare,Drug Manufacturers - General,156953083904
BLND.L,British Land Company PLC,Real Estate,REIT - Diversified,3870160896
INF.L,Informa plc,Communication Services,Publishing,11009032192
CNA.L,Centrica plc,Utilities,Utilities - Independent Power Producers,5956439040
LAND.L,Land Securities Group Plc,Real Estate,REIT - Diversified,4398853120
HL.L,Hargreaves Lansdown plc,Financial Services,Asset Management,5168289792
BARC.L,Barclays PLC,Financial Services,Banks - Diversified,37049249792
IMB.L,Imperial Brands PLC,Consumer Defensive,Tobacco,20130588672
CPG.L,Compass Group PLC,Consumer Cyclical,Restaurants,44755927040
GSK.L,GSK plc,Healthcare,Drug Manufacturers - General,56453718016
AV.L,Aviva plc,Financial Services,Insurance - Diversified,12124113920
ULVR.L,Unilever PLC,Consumer Defensive,Household & Personal Products,113523433472
DGE.L,Diageo plc,Consumer Defensive,Beverages - Wineries & Distilleries,51886501888
UTG.L,Unite Group PLC,Real Estate,REIT - Diversified,4199362304
SHEL.L,Shell plc,Energy,Oil & Gas Integrated,159275859968
CTEC.L,ConvaTec Group PLC,Healthcare,Medical Instruments & Supplies,4487109632
AHT.L,Ashtead Group plc,Industrials,Rental & Leasing Services,27541772288
SGRO.L,SEGRO Plc,Real Estate,REIT - Industrial,10492782592
BA.L,BAE Systems plc,Industrials,Aerospace & Defense,41470808064
HLMA.L,Halma plc,Industrials,Conglomerates,9784341504
ENT.L,Entain Plc,Consumer Cyclical,Gambling,4750694400
HSX.L,Hiscox Ltd,Financial Services,Insurance - Property & Casualty,3629869312
RMV.L,Rightmove plc,Communication Services,Internet Content & Information,4713796608
NXT.L,NEXT plc,Consumer Cyclical,Apparel Retail,11830177792
SDR.L,Schroders plc,Financial Services,Asset Management,4972160512
HLN.L,Haleon plc,Healthcare,Drug Manufacturers - Specialty & Generic,33098326016
WEIR.L,The Weir Group PLC,Industrials,Specialty Industrial Machinery,5659541504
CRDA.L,Croda International Plc,Basic Materials,Specialty Chemicals,5103426048
EXPN.L,Experian plc,Industrials,Consulting Services,35511046144
NG.L,National Grid plc,Utilities,Utilities - Regulated Electric,48029855744
CCH.L,Coca-Cola HBC AG,Consumer Defensive,Beverages - Non-Alcoholic,10159014912
SPX.L,Spirax Group plc,Industrials,Specialty Industrial Machinery,4863664128
BME.L,B&M European Value Retail S.A.,Consumer Defensive,Discount Stores,3912734208
LSEG.L,London Stock Exchange Group plc,Financial Services,Financial Data & Stock Exchanges,57557970944
UU.L,United Utilities Group PLC,Utilities,Utilities - Regulated Water,7139367424
ITRK.L,Intertek Group plc,Industrials,Specialty Business Services,7375844864
SMDS.L,DS Smith Plc,Consumer Cyclical,Packaging & Containers,7897671168
SVT.L,Severn Trent PLC,Utilities,Utilities - Regulated Water,7889204224
KGF.L,Kingfisher plc,Consumer Cyclical,Home Improvement Retail,5301543424
NWG.L,NatWest Group plc,Financial Services,Banks - Regional,32403103744
FCIT.L,F&C Investment Trust Ord,N/A,N/A,5312845824
PHNX.L,Phoenix Group Holdings plc,Financial Services,Insurance - Life,4917904896
